 Don Henley,43082,1.18
 Linda Ronstadt,42577,2.05
 Paul Simon,42501,6.42
 John Michael Montgomery,41958,0.306
 Enrique Iglesias,41721,13.8
 Bobby Brown,41560,10.7
 Alanis Morissette,40366,4.76
 Nicki Minaj,40318,148
 Frank Sinatra,39998,20.1
 Steve Winwood,39007,1.03
 Victoria Beckham,38039,26.9
 Mel B,0,5.46
 Cyndi Lauper,37593,8.54
 Lana Del Rey,37587,18.5
 Snoop Dogg,37172,23.6
 David Bowie,36684,37.9
 Michael W. Smith,36310,1.31
 Bette Midler,36271,5.96
 Dr. Dre,36032,18
 Jason Mraz,35893,9.53
 Kelly Rowland,35751,10.7
 Billy Ocean,35637,0.49
 Ray Charles,35477,10.2
 Trey Songz,35389,8.35
 JC Chasez,35254,0.25
 Lance Bass,0,0.641
 Joey Fatone,0,0.284
 Diana Ross,35172,8.89
 Darius Rucker,35147,2.1
 Trisha Yearwood,35132,1.72
 Tracy Chapman,35110,1.32
 John Legend,33945,25.3
 Adam Duritz,33738,0.0941
 Brian McKnight,33141,1.16
 Neil Young,32235,10.5
 Debbie Gibson,32089,0.747
 Busta Rhymes,32087,8.69
 Peter Gabriel,32072,4.49
 Chris Tomlin,32044,2.89
 Pat Benatar,31659,1.55
 Donna Summer,31564,4.91
 Taylor Dayne,31462,0.362
 Dionne Warwick,31455,1.49
 Keyshia Cole,31232,3.54
 Josh Turner,31016,0.976
 Kendrick Lamar,30847,27.5
 Wilson Phillips,30633,0.282
 Kenny Loggins,30567,1.34
 Colbie Caillat,30420,1.64
 Weird Al Yankovic,30408,2.17
 Dwight Yoakam,30268,1.41
 Robert Palmer,30229,1.05
 Jessica Simpson,30198,28.1
 Stevie Nicks,29900,7.92
 Rick Springfield,29651,1.06
 Sean Paul,29490,10.9
 Olivia Newton-John,29486,5.98
 Nelly Furtado,29404,3.27
 Will Smith,29335,34.5
 Huey Lewis,29204,1.28
 Gary Allan,28773,0.766
 Marvin Gaye,28758,13.3
 Tracy Lawrence,28694,0.331
 Vanessa Williams,28490,3.8
 Sheena Easton,28460,0.421
 Jon Secada,28431,0.307
 Connie Francis,27321,0.661
 Joe Jonas,27287,9.3
 Nick Jonas,0,26.8
 Kevin Jonas,0,1.4
 Mary Chapin Carpenter,27195,0.328
 Annie Lennox,27048,1.94
 Demi Lovato,26724,53.4
 Billy Ray Cyrus,26683,1.49
 Marc Anthony,26557,11.3
 Sara Evans,26446,0.946
 Hank Williams Jr.,26296,1.28
 Tom Petty,26222,35.6
 Billy Currington,25752,0.817
 Jody Watley,25751,0.199
 Willie Nelson,25669,11.3
 Natalie Merchant,25392,0.386
 Ricky Martin,25261,12
 Tony Bennett,25163,5.33
 Dolly Parton,25108,15.9
 Freddie Jackson,25096,0.21
 Patti LaBelle,25068,2.15
 Jackson Browne,24919,2.21
 Brenda Lee,24866,2.22
 Gerald Levert,24563,0.253
 Clay Walker,24275,0.356
 Jeffrey Osborne,23953,0.216
 Jo Dee Messina,23752,0.233
 Robin Thicke,23717,7.2
 Roy Orbison,23710,2.97
 Sam Smith,23573,16.3
 Howard Jones,23342,0.705
 Alice Cooper,23261,9.03
 Amy Winehouse,23023,13
 Diana Krall,22964,1.5
 Collin Raye,22948,0.227
 Hilary Duff,22943,27.8
 Erykah Badu,22646,4.53
 Anne Murray,22636,0.744
 Gretchen Wilson,22608,0.444
 Barry White,22574,1.9
 Ellie Goulding,22527,13
 Rick Ross,22512,14.9
 Jill Scott,22449,3.32
 Milli Vanilli,22436,0.448
 Tori Amos,22419,2.08
 Hunter Hayes,22256,4.91
 Tevin Campbell,21990,0.227
 Lynyrd Skynyrd,21972,6.82
 John Fogerty,21825,1.44
 Bobby Vinton,21781,0.384
 Lorrie Morgan,21778,0.256
 Belinda Carlisle,21678,0.486
 Smokey Robinson,21592,1.79
 Chris Isaak,21581,1.74
 Marilyn Manson,21362,11.5
 Jeff Foxworthy,21322,0.727
 Sara Bareilles,21199,2.64
 Rick Astley,21142,2.25
 James Brown,21116,13.6
 George Winston,20997,0.302
" Missy ""Misdemeanor"" Elliott",20928,0.055
 Joe Satriani,20911,1.73
 Wiz Khalifa,20619,24.4
 Bruce Hornsby,20540,0.685
 Faith Evans,20479,1.26
 Michelle Branch,20451,0.524
 David Lee Roth,20257,1.11
 John Denver,20203,5.28
 Anthony Hamilton,20053,0.828
 Paul Anka,20049,1.35
 Meghan Trainor,19948,11.7
 Montell Jordan,19889,0.328
 Rodney Atkins,19438,0.307
 Julio Iglesias,19239,10.8
 Ariana Grande,19025,109
 Brook Benton,18953,0.177
 Corey Hart,18948,0.265
 Lee Ann Womack,18917,0.504
 Jermaine Jackson,18915,0.868
 Chubby Checker,18808,0.675
 Fiona Apple,18681,1.27
 Rob Zombie,18642,6.36
 Bobby Darin,18573,1.08
 Natasha Bedingfield,18549,1.09
 Neil Sedaka,18502,0.636
 Ricky Van Shelton,18464,0.113
 Laura Branigan,18446,0.297
 Sam Cooke,18415,3.35
 Dan Fogelberg,18332,0.338
 George Harrison,18284,9.1
 Chris Young,18228,3.42
 Lee Brice,18107,1.26
 Susan Boyle,18000,1.89
 Stevie B,17970,0.353
 Sam Hunt,17934,3.34
 Johnny Gill,17489,0.368
 Al Green,17460,2.24
 Jackie Wilson,17365,0.569
 Aaron Neville,17252,0.458
 George Benson,17192,2.75
 Glenn Frey,16955,1.19
 Lauryn Hill,16720,6.13
 James Blunt,16662,5.04
 Glen Campbell,16534,2.41
 Karyn White,16491,0.136
 Phillip Phillips,16035,0.833
 Leona Lewis,16000,5.56
 Joe Cocker,15974,4.14
 Tom Jones,15924,5.87
 Lisa Stansfield,15910,0.387
 Jimi Hendrix,15878,12.2
 Musiq Soulchild,15810,0.579
 Andy Williams,15767,1.56
 Sammy Hagar,15719,1.45
 Aaron Tippin,15612,0.271
 Joe Nichols,15579,0.561
 Snoop Doggy Dogg,15555,0.418
 Joss Stone,15524,1.87
 Uncle Kracker,15413,0.342
 Warren G,15412,3.36
 Daddy Yankee,15382,20.2
 Sammy Kershaw,15372,0.186
 Wang Chung,15324,0.245
 Bobby Rydell,15321,0.182
 Scotty McCreery,15261,1.32
 Johnny Rivers,15058,0.299
 Puff Daddy,15010,1.89
 Rob Thomas,14999,3.63
 Macy Gray,14961,1.21
 Jake Owen,14961,1.27
 Tracy Byrd,14922,0.182
 Vanilla Ice,14903,17
 Helen Reddy,14859,0.279
 Michael McDonald,14838,1.18
 Samantha Fox,14760,1.72
 Steven Curtis Chapman,14756,0.544
 Steely Dan,14714,4.44
 Jesse McCartney,14674,3.77
 Selena Gomez,14531,75.6
 Jamey Johnson,14478,0.54
 Joe Jackson,14371,17
 Charlotte Church,14369,0.483
 Aaron Carter,14361,1.2
 Jamie Foxx,14353,21.8
 Alison Krauss,14352,1.78
 Paula Cole,14320,0.244
 B.B. King,14303,7.57
 Tanya Tucker,14243,0.467
 Donny Osmond,14110,1.04
 Jordin Sparks,14090,4.09
 David Gray,14084,1.28
 Gavin DeGraw,14027,2.01
 Sinead O Connor,13931,0.813
 Real McCoy,13929,1.24
 Ashlee Simpson,13905,4.4
 Justin Moore,13897,1.21
 Donell Jones,13828,0.3
 Wilson Pickett,13754,0.514
 Paul Young,13729,1.86
 Da Brat,13729,0.643
 Dean Martin,13721,8.49
 Kylie Minogue,13696,20.5
 Ricky Nelson,13690,0.85
 Teddy Pendergrass,13649,0.379
 Teena Marie,13603,0.429
 Kid Cudi,13452,7.12
 David Sanborn,13451,0.322
 Boz Scaggs,13449,0.612
 Carole King,13386,3.04
 Quincy Jones,13362,3.92
 Deana Carter,13297,0.173
 Mark Chesnutt,13218,0.18
 Stephanie Mills,13164,0.304
 Lita Ford,13144,0.605
 Julian Lennon,13143,0.506
 KT Tunstall,13100,0.758
 Soulja Boy Tell'em,13017,0.484
 Craig David,12983,2.09
 Sarah Brightman,12946,1.38
 Joe Diffie,12881,0.17
 Corinne Bailey Rae,12815,0.555
 Terri Clark,12772,0.253
