 Mark-Paul Gosselaar,2379,0.364,,,
 Shantel VanSanten,1044,0.339,,,
 Emma Thompson,1071,5.8,,,
 Elizabeth Hurley,1216,11.6,,,
 Tuppence Middleton,62,0.204,,,
 Jodi Lyn OKeefe,729,0.069,,,
 Marvin Krondon Jones III,765562,0.0139,,,
 Josh Hutcherson,1059,6.09,,,
 Lauren Graham,1009,2.1,,,
 Shannyn Sossamon,1038,0.338,,,
 Traylor Howard,2508,0.157,,,
 Sonya Walger,839,0.33,,,
 Jolene Blalock,1104,0.456,,,
 George Hamilton,3137,0.974,,,
 Ben Whishaw,1839,0.932,,,
 Kathleen Wilhoite,4719,0.0634,,,
 Will Arnett,2226,2.72,,,
 Brenda Song,2377,4.76,,,
 Kurt Sutter,2342,0.291,,,
 Gwendoline Christie,693,1.26,,,
 Jonathan Jackson,1850,0.397,,,
 Kathryn Hahn,172,0.798,,,
 OShea Jackson Jr,4702,0.0315,,,
 Thora Birch,952,0.945,,,
 Joseph Morgan,1220,2.62,,,
 Bridget Fonda,1471,0.734,,,
 Holly Hunter,968,3.69,,,
 Hilary Duff,1507,27.2,,,
 Aidan Gillen,726,0.52,,,
 Dougray Scott,2912,0.3,,,
 Desmond Harrington,1581,0.162,,,
 Jeremy Irons,1327,3.66,,,
 Lili Simmons,1577,0.563,,,
 Lou Ferrigno Jr,8480,0.0162,,,
 Ed Helms,1817,1.94,,,
 Garrett Hedlund,1240,1.33,,,
 C Thomas Howell,1198,0.393,,,
 Bruce Greenwood,2245,0.524,,,
 Mlanie Laurent,782,0.0585,,,
 Jami Gertz,1869,0.322,,,
 Georgina Campbell,4739,0.0865,,,
 Devon Sawa,2385,0.233,,,
 Shannon Elizabeth,897,2.28,,,
 Titus Welliver,792,1.48,,,
 Robbie Amell,1313,0.569,,,
 Alicia Witt,1013,0.877,,,
 Anna Torv,2557,0.539,,,
 Clark Gregg,2724,1.07,,,
 Ginnifer Goodwin,341,3.53,,,
 Chrissy Metz,498,0.823,,,
 Tom Sizemore,2300,0.651,,,
 Sean Penn,1088,8.97,,,
 James Remar,1852,0.403,,,
 Malcolm-Jamal Warner,4318,0.18,,,
 Suzanne Cryer,1534,0.0549,,,
 Ally Sheedy,1096,0.578,,,
 Lara Flynn Boyle,388,0.933,,,
 Samantha Colley,217,0.0352,,,
 Madison Lintz,1695,0.0911,,,
 Ashley Benson,501,11.8,,,
 Clea DuVall,1154,0.248,,,
 Winter Ave Zoli,3088,0.0892,,,
 Astrid Bergs-Frisbey,57,0.00102,,,
 Tommy Lee Jones,1180,4.56,,,
 Manu Bennett,1549,0.443,,,
 Zahn McClarnon,1305,0.115,,,
 Mariska Hargitay,1049,6.8,,,
 Linda Hamilton,1139,1.82,,,
 Claire Forlani,719,0.693,,,
 Ethan Embry,1149,0.213,,,
 Monica Potter,2035,0.256,,,
 Adam Devine,757,0.972,,,
 Kiefer Sutherland,956,3.03,,,
 Brooke Langton,3199,0.127,,,
 Willem Dafoe,1463,4.56,,,
 Stanley Tucci,1045,2.28,,,
 Kelly Stables,3147,0.42,,,
 Ryan Phillippe,1548,1.83,,,
 Leah Remini,709,5.59,,,
 Josh Duhamel,1394,5.02,,,
 Melissa George,1536,1.32,,,
 Lance Henriksen,2042,0.521,,,
 Matt Frewer,3511,0.138,,,
 Wilmer Valderrama,1230,1.34,,,
 Juliette Lewis,1315,3.11,,,
 Theo James,741,4.62,,,
 James DArcy,1274,2.62,,,
 Brittany Daniel,1239,0.642,,,
 Crispin Glover,440,0.458,,,
 Alicia Goranson,1497,0.0371,,,
 Madeleine Stowe,1256,0.54,,,
 Alanna Ubach,2360,0.206,,,
 Danny Glover,2618,2.77,,,
 Kathryn Prescott,2524,0.131,,,
 Amy Acker,1178,0.723,,,
 Janelle Mone,527,3.67,,,
 Seann William Scott,1778,0.712,,,
 Kim Matula,6879,0.142,,,
 Jason Reitman,6824,0.398,,,
 Jared Padalecki,1193,5.78,,,
 Christina Ochoa,3475,0.189,,,
 Alexis Knapp,1594,0.322,,,
 Makenzie Vega,4240,0.0995,,,
 Jamie Kennedy,1116,0.463,,,
 Kristen Gutoskie,5618,0.0482,,,
 Helen McCrory,919,0.271,,,
 Paget Brewster,770,0.601,,,
 Jennifer Tilly,1151,3.05,,,
 Julia Ormond,1083,0.58,,,
 David Thewlis,211,0.72,,,
 Cress Williams,2141,0.18,,,
 David Lynch,324,9.92,,,
 Hafr Jlus Bjrnsson,178397,0.000275,,,
 Tim Burton,1311,23.5,,,
 Audrey Fleurot,10389,0.176,,,
 Lisa Kudrow,1483,2.5,,,
 Lynda Carter,830,3.75,,,
 Adelaide Kane,1080,1.13,,,
 Kristy Swanson,1708,0.456,,,
 Donald Sutherland,1941,3,,,
 Tim Roth,1631,3.11,,,
 Amanda Schull,1354,0.228,,,
 Jessica Walter,2507,1.05,,,
 Bill Murray,1128,10.4,,,
 Scott Speedman,1888,0.412,,,
 Michael Biehn,410,0.479,,,
 Phoebe Tonkin,1225,3.27,,,
 Megan Boone,1107,0.531,,,
 Patrick Fischler,4005,0.0675,,,
 Yara Shahidi,2415,1.9,,,
 Swoosie Kurtz,4910,0.165,,,
 Debra Winger,1006,0.515,,,
 Natalie Morales,1134,0.57,,,
 Sean Astin,1922,1.32,,,
 Annabelle Attanasio,711,0.0284,,,
 Ashley Tisdale,1684,19.1,,,
 Adam F Goldberg,1884,0.0508,,,
 Saffron Burrows,1934,0.387,,,
 Jonathan Banks,858,0.359,,,
 Olivia Taylor Dudley,1162,0.153,,,
 Cody Horn,2549,0.253,,,
 Leslie Stefanson,1157,0.0368,,,
 Zach Braff,1826,1.26,,,
 Daphne Zuniga,2518,0.221,,,
 Joss Whedon,2105,8.12,,,
 Tamlyn Tomita,4346,0.0867,,,
 Alan Tudyk,589,0.849,,,
 Anna Camp,1020,0.879,,,
 Josh Gad,614,2.23,,,
 Jenny Agutter,659,0.772,,,
 Hayley Orrantia,1627,0.162,,,
 Sonny Lindberg,67447,0.00958,,,
 Karen David,4691,0.158,,,
 Dick Van Dyke,1573,3.33,,,
 Justin Hartley,1226,1.15,,,
 Holly Taylor,950,1.26,,,
 Sylvia Hoeks,515,0.278,,,
 Edward Furlong,1585,1.66,,,
 Brenton Thwaites,694,0.587,,,
 JK Simmons,1443,1.47,,,
 Patrick J Adams,1994,5.97,,,
 Francesca Eastwood,132,0.379,,,
 Kevin Smith,898,8.14,,,
 Tim Curry,578,3.35,,,
 Neal McDonough,1537,0.288,,,
 Dolph Lundgren,1046,2.27,,,
 Alona Tal,2005,0.231,,,
 Pedro Pascal,758,0.651,,,
 Kieran Culkin,3174,0.181,,,
 Jessica Raine,901,0.118,,,
 Jeffrey Donovan,651,0.29,,,
 Adam Scott,660,3.68,,,
 Richard Dean Anderson,2021,0.387,,,
 Angela Kinsey,2351,0.254,,,
 Catherine Keener,432,1.01,,,
 Mia Kirshner,2238,0.488,,,
 Max Greenfield,2756,0.446,,,
 Paige Turco,1543,0.21,,,
 Oliver Hudson,1004,0.502,,,
 Tom Felton,829,6.36,,,
 Michael Gross,7454,0.595,,,
 Vince Vaughn,1425,4.83,,,
 Erin Richards,1177,0.221,,,
 Olivia Colman,1936,0.332,,,
 Emily Osment,1380,3.65,,,
 Rene Felice Smith,3065,0.00633,,,
 David Schwimmer,724,1.29,,,
 Caitlin FitzGerald,4701,0.989,,,
 Meadow Williams,12734,0.0179,,,
 Hugh Grant,1478,7.25,,,
 Ian McShane,148,0.687,,,
 Vicky McClure,174,0.103,,,
 Colin ODonoghue,413,0.498,,,
 Krista Allen,1711,1.5,,,
 Christopher Plummer,2000,7.47,,,
 Iain Armitage,4049,0.104,,,
 Chris Sullivan,26,0.317,,,
 Brian Geraghty,4665,0.159,,,
 Tian Jing,261,0.138,,,
 Luke Mitchell,1268,0.286,,,
 America Ferrera,2466,2.25,,,
 Billy Crudup,472,0.726,,,
 Maggie Gyllenhaal,1373,5.55,,,
 Macaulay Culkin,1228,4.08,,,
 Johanna Braddy,1181,0.174,,,
 Hugh Laurie,1589,4.97,,,
 Rachelle Lefevre,2019,0.367,,,
 Rhys Darby,3206,0.144,,,
 Betty White,1161,5.62,,,
 Shaunette Rene Wilson,13619,0.000692,,,
 Andy Garcia,1730,1.27,,,
 Lucas Black,1050,0.379,,,
 Christine Taylor,1350,0.876,,,
 Janet Montgomery,753,0.302,,,
