 Steven Soderbergh,2458,2.26
 Jeremy Sisto,3116,0.288
 Thomas Ian Griffith,10612,0.0501
 Molly C Quinn,1933,0.264
 Marla Sokoloff,2214,0.153
 Ronda Rousey,1524,16.3
 Benjamin Bratt,2898,0.955
 Regina Hall,1523,2.13
 John Carpenter,1892,5.92
 Dafne Keen,329,0.241
 Jeff Daniels,3038,1.89
 Joey Lauren Adams,1502,0.228
 Eve Myles,4613,0.113
 Taylor Cole,566,0.539
 Julie Christie,2434,1.16
 Natalia Tena,1822,0.221
 Raza Jaffrey,7065,0.0688
 Wagner Moura,1639,0.333
 Catherine OHara,1780,0.684
 Jacob Pitts,4899,0.111
 Jacqueline Byers,7384,0.049
 Aaron Eckhart,1285,1.23
 Liz Vassey,1333,0.0484
 Danay Garcia,3128,0.0988
 Kenan Thompson,2613,0.419
 Natalia Cordova-Buckley,4406,0.0643
 Erika Fong,2080,0.059
 Brian Tyree Henry,11720,0.406
 Aaron Tveit,2288,0.763
 Erin Moriarty,1277,0.151
 Sara Paxton,2368,0.543
 Lex Scott Davis,7355,0.0542
 Faye Dunaway,1357,2.94
 Harvey Weinstein,10991,19.8
 Robert Rodriguez,1959,4.61
 Scott Foley,1784,0.301
 Stephanie Szostak,3497,0.108
 Anne Winters,7629,0.144
 Nafessa Williams,8475,0.131
 Julie Adams,2814,0.329
 Eric Dane,1613,0.852
 Katie Findlay,2365,0.106
 Jane Adams,4942,0.552
 Spike Lee,3474,6.52
 Ana de la Reguera,1717,0.358
 Nicollette Sheridan,2468,0.745
 Lorenzo Lamas,1969,0.295
 Betty Gabriel,1991,0.102
 Milo Manheim,32752,0.287
 Alexandra Holden,3214,0.0583
 Daniel Sharman,3371,1.28
 Florence Faivre,6211,0.0299
 Joshua Jackson,2207,1.3
 Anne Dudek,366,0.142
 Riccardo Scamarcio,6423,0.153
 Emmanuelle Bart,3437,0.0231
 Violett Beane,3198,0.271
 Harris Dickinson,11574,0.0656
 Patricia Heaton,2127,1.01
 Noel Fisher,884,0.309
 Lindy Booth,2086,0.187
 Georgina Haig,4423,0.119
 Trent Garrett,3629,0.0311
 Ekaterina Samsonov,12294,0.0308
