 Keesha Sharp,4254,0.116
 David Leitch,4615,0.404
 Aidan Turner,837,1.75
 Matt LeBlanc,1108,1.55
 Madeline Carroll,2958,0.161
 Mel Brooks,2160,4.95
 Sasha Pieterse,404,2.19
 Danneel Ackles,2277,0.168
 Bridget Moynahan,788,0.759
 Billy Zane,1016,0.857
 Gaby Hoffmann,569,0.226
 Elijah Wood,1229,5.64
 Aimee Garcia,1863,0.28
 Debi Mazar,2768,0.392
 Cory Michael Smith,2686,0.191
 Kathleen Turner,880,0.975
 Kristin Kreuk,1468,2.31
 Jamie Chung,738,4.99
 Kim Cattrall,1437,2.15
 Steve Buscemi,1283,3.4
 Nichole Bloom,1251,0.171
 Josphine Jobert,1749,0.000186
 Rachael Leigh Cook,1025,0.376
 Christopher Russell,11958,0.172
 William Moseley,1996,0.319
 Christopher Lloyd,1355,1.47
 AnnaLynne McCord,1243,3.4
 David Harbour,328,0.995
 Pierce Brosnan,716,11.1
 Marc Warren,4855,0.143
 Katrina Bowden,1703,0.57
 Peter Stormare,168,0.478
 Christian Slater,1041,2.46
 Sean Bean,1007,3.43
 Richard Gere,766,8.07
 Patrick Warburton,1363,0.48
 Toni Collette,883,2.58
 Tatiana Maslany,846,1.1
 Randee Heller,12159,0.0268
 Jason Isaacs,1341,0.875
 Angela Lansbury,1325,1.62
 Woody Allen,1003,17.2
 Willa Holland,844,2.65
 Billy Bob Thornton,914,2.04
 Christina Applegate,1093,2.99
 Kim Dickens,2022,0.372
 Kelly Preston,1286,1.55
 Giovanni Ribisi,1445,0.497
 Mandy Patinkin,1564,0.777
 Eleanor Tomlinson,1290,0.965
 Jonny Lee Miller,1159,0.719
 Steven Ogg,3049,0.143
 Peter Jackson,1862,7.35
 Alexandra Shipp,3585,0.678
 Jim Parsons,1097,3.4
 Marcella Bragio,14470,0.0191
 Dakota Blue Richards,1539,0.221
 Hannah Jeter,10914,0.13
 Aisha Tyler,957,2.99
 Joseph Mazzello,1432,0.154
 Warwick Davis,2322,0.637
 Tania Raymonde,1010,0.223
 Florence Pugh,2725,0.123
 Maggie Smith,879,3.81
 China Anne McClain,2779,0.916
 Nikolaj Coster-Waldau,489,1.95
 Natalia Dyer,730,0.686
 Austin Butler,2134,1.3
 Owen Wilson,1062,6.9
 Timothy Bottoms,7429,0.133
 Isabel Lucas,1287,0.737
 Patrick Dempsey,911,5.12
 Peter Sarsgaard,1298,0.632
 Meaghan Rath,3216,0.108
 M Night Shyamalan,277,2.95
 Camilla Luddington,1582,0.458
 Ray Stevenson,1701,0.478
 Charlie Plummer,6901,0.11
 Tanya van Graan,16565,0.065
 Olivia Vinall,35139,0.0393
 Jewel Staite,1184,0.442
 Taryn Manning,657,0.648
 Camilla Belle,601,5.4
 Matthew Macfadyen,1257,0.585
 Brad Dourif,1615,0.397
 John Cena,934,27.7
 Jake Busey,3958,0.162
 Denis Villeneuve,194,1.01
 Patton Oswalt,1970,2.24
 Tate Donovan,3375,0.184
 Dina Meyer,1069,0.341
 Susan Sarandon,945,12.8
 Genesis Rodriguez,1415,0.606
 Jack OConnell,1284,0.136
 Ellen Barkin,761,0.625
 William Hurt,2695,0.91
 Naomie Harris,1054,2.72
 David Cross,2112,5.41
 Raegan Revord,18302,0.0257
 Balthazar Getty,5478,0.184
 Halle Berry,986,19.5
 Nick Nolte,2190,1.09
 Tasya Teles,993,0.0726
 Peyton List,1402,6.84
 Ellie Gall,27067,0.0138
 Roseanne Barr,1999,15.5
 Sarah Wright,1874,0.38
 Katey Sagal,791,1.22
 Dave Franco,799,4.45
 Paul Giamatti,959,1.45
 Neil Patrick Harris,1504,8.81
 Pamela Anderson,246,16.4
 Leven Rambin,2868,0.296
 Dax Shepard,2223,0.68
 Dominique Swain,800,0.255
 Gugu Mbatha-Raw,712,0.795
 Poppy Drayton,1727,0.114
 Anthony Michael Hall,912,0.579
 Sara Gilbert,2532,1.16
 Isabelle Fuhrman,2002,0.435
 Amanda Peet,784,1.87
 Jennifer Beals,1435,0.888
 Jeri Ryan,469,0.914
 Samantha Mathis,648,0.214
 Jesse Williams,2125,3.67
 Sara Ramirez,3105,0.603
 Nick Offerman,570,2.66
 Trieste Kelly Dunn,3106,0.416
 Rory Cochrane,4242,0.152
 Colin Hanks,1155,0.332
 Aly Michalka,565,0.749
 Roman Polanski,2646,4.82
 Seth MacFarlane,1043,4.25
 Orla Brady,1977,0.0856
 Brooklyn Decker,920,3.9
 Hailey Baldwin,12659,12.9
 Joseph D Reitman,10599,0.0245
 Kavan Smith,3255,0.0677
 Will Poulter,1674,0.526
 John Cho,3349,0.659
 Lisa Eilbacher,6094,0.0966
 Jim Caviezel,1095,1.65
 Michael Douglas,1293,7.45
 Mark-Paul Gosselaar,2379,0.345
 Shantel VanSanten,1044,0.479
 Emma Thompson,1071,6.55
 Elizabeth Hurley,1216,9.27
 Tuppence Middleton,62,0.206
 Jodi Lyn OKeefe,729,0.0475
 Marvin Krondon Jones III,765562,0.0145
 Josh Hutcherson,1059,5.87
 Lauren Graham,1009,1.61
 Shannyn Sossamon,1038,0.331
 Traylor Howard,2508,0.136
 Sonya Walger,839,0.29
 Jolene Blalock,1104,0.356
 George Hamilton,3137,0.877
 Ben Whishaw,1839,1.25
 Kathleen Wilhoite,4719,0.0772
 Will Arnett,2226,2.08
 Brenda Song,2377,3.35
 Kurt Sutter,2342,0.283
 Gwendoline Christie,693,1.49
 Jonathan Jackson,1850,0.395
 Kathryn Hahn,172,1.56
 OShea Jackson Jr,4702,0.0327
 Thora Birch,952,0.868
 Joseph Morgan,1220,2.59
 Bridget Fonda,1471,0.592
 Holly Hunter,968,2.47
 Hilary Duff,1507,26.5
 Aidan Gillen,726,0.457
 Dougray Scott,2912,0.282
 Desmond Harrington,1581,0.166
 Jeremy Irons,1327,4.69
 Lili Simmons,1577,0.58
 Lou Ferrigno Jr,8480,0.0165
 Ed Helms,1817,1.77
 Garrett Hedlund,1240,1.08
 C Thomas Howell,1198,0.366
 Bruce Greenwood,2245,0.519
 Mlanie Laurent,782,0.0527
 Jami Gertz,1869,0.293
 Georgina Campbell,4739,0.0782
 Devon Sawa,2385,0.236
 Shannon Elizabeth,897,1.19
 Titus Welliver,792,1.56
 Robbie Amell,1313,0.587
 Alicia Witt,1013,0.834
 Anna Torv,2557,0.43
 Clark Gregg,2724,1.06
 Ginnifer Goodwin,341,3.74
 Chrissy Metz,498,3.48
 Tom Sizemore,2300,0.561
 Sean Penn,1088,6.68
 James Remar,1852,0.357
 Malcolm-Jamal Warner,4318,0.155
 Suzanne Cryer,1534,0.0515
 Ally Sheedy,1096,0.563
 Lara Flynn Boyle,388,0.505
 Samantha Colley,217,0.0333
 Madison Lintz,1695,0.0925
 Ashley Benson,501,11.7
 Clea DuVall,1154,0.242
 Winter Ave Zoli,3088,0.0901
 Astrid Bergs-Frisbey,57,0.00532
 Tommy Lee Jones,1180,5.04
 Manu Bennett,1549,0.46
 Zahn McClarnon,1305,0.109
 Mariska Hargitay,1049,3.64
 Linda Hamilton,1139,2.06
 Claire Forlani,719,0.605
 Ethan Embry,1149,0.208
 Monica Potter,2035,0.264
 Adam Devine,757,0.932
 Kiefer Sutherland,956,2.7
 Brooke Langton,3199,0.112
 Willem Dafoe,1463,4.21
 Stanley Tucci,1045,1.84
 Kelly Stables,3147,0.128
 Ryan Phillippe,1548,2.73
 Leah Remini,709,1.94
 Josh Duhamel,1394,7.21
 Melissa George,1536,1.05
 Lance Henriksen,2042,0.519
 Matt Frewer,3511,0.144
 Wilmer Valderrama,1230,1.24
 Juliette Lewis,1315,2.37
 Theo James,741,4.7
 James DArcy,1274,0.0754
 Brittany Daniel,1239,0.444
 Crispin Glover,440,0.389
 Alicia Goranson,1497,0.0336
 Madeleine Stowe,1256,0.508
 Alanna Ubach,2360,0.244
 Danny Glover,2618,2.94
 Kathryn Prescott,2524,0.128
 Amy Acker,1178,0.646
 Janelle Mone,527,0.0198
 Seann William Scott,1778,0.546
 Kim Matula,6879,0.12
 Jason Reitman,6824,0.409
 Jared Padalecki,1193,6.02
 Christina Ochoa,3475,0.187
 Alexis Knapp,1594,0.303
 Makenzie Vega,4240,0.0889
 Jamie Kennedy,1116,0.483
 Kristen Gutoskie,5618,0.043
 Helen McCrory,919,0.298
 Paget Brewster,770,0.55
 Jennifer Tilly,1151,1.1
 Julia Ormond,1083,0.478
 David Thewlis,211,0.653
 Cress Williams,2141,0.172
 David Lynch,324,11.5
 Hafr Jlus Bjrnsson,178397,0.000273
 Tim Burton,1311,20.1
 Audrey Fleurot,10389,0.166
 Lisa Kudrow,1483,2.46
 Lynda Carter,830,4.47
 Adelaide Kane,1080,1.19
 Kristy Swanson,1708,0.394
 Donald Sutherland,1941,3.17
 Tim Roth,1631,1.29
 Amanda Schull,1354,0.227
 Jessica Walter,2507,0.633
 Bill Murray,1128,9.92
 Scott Speedman,1888,0.375
 Michael Biehn,410,0.469
 Phoebe Tonkin,1225,3.29
 Megan Boone,1107,0.509
 Patrick Fischler,4005,0.0708
 Yara Shahidi,2415,1.41
 Swoosie Kurtz,4910,0.166
 Debra Winger,1006,0.505
 Natalie Morales,1134,0.613
 Sean Astin,1922,1.42
 Annabelle Attanasio,711,0.0255
 Ashley Tisdale,1684,15.6
 Adam F Goldberg,1884,0.047
 Saffron Burrows,1934,0.328
 Jonathan Banks,858,0.357
 Olivia Taylor Dudley,1162,0.148
 Cody Horn,2549,0.131
 Leslie Stefanson,1157,0.0376
 Zach Braff,1826,1.4
 Daphne Zuniga,2518,0.194
 Joss Whedon,2105,7.38
 Tamlyn Tomita,4346,0.105
 Alan Tudyk,589,0.893
 Anna Camp,1020,0.799
 Josh Gad,614,1.88
 Jenny Agutter,659,0.822
 Hayley Orrantia,1627,0.16
 Sonny Lindberg,67447,0.0217
 Karen David,4691,0.162
 Dick Van Dyke,1573,2.45
 Justin Hartley,1226,1.9
 Holly Taylor,950,1.3
 Sylvia Hoeks,515,0.212
 Edward Furlong,1585,1.54
 Brenton Thwaites,694,0.724
 JK Simmons,1443,1.42
 Patrick J Adams,1994,6.59
 Francesca Eastwood,132,0.378
 Kevin Smith,898,8.52
 Tim Curry,578,2.5
 Neal McDonough,1537,0.3
 Dolph Lundgren,1046,2.21
 Alona Tal,2005,0.216
 Pedro Pascal,758,0.581
 Kieran Culkin,3174,0.204
 Jessica Raine,901,0.119
 Jeffrey Donovan,651,0.305
 Adam Scott,660,4.15
