 Keesha Sharp,4254,0.126
 David Leitch,4615,0.432
 Aidan Turner,837,0.723
 Matt LeBlanc,1108,1.78
 Madeline Carroll,2958,0.163
 Mel Brooks,2160,2.58
 Sasha Pieterse,404,0.922
 Danneel Ackles,2277,0.484
 Bridget Moynahan,788,0.494
 Billy Zane,1016,1.07
 Gaby Hoffmann,569,0.252
 Elijah Wood,1229,6.27
 Aimee Garcia,1863,0.277
 Debi Mazar,2768,0.41
 Cory Michael Smith,2686,0.197
 Kathleen Turner,880,0.514
 Kristin Kreuk,1468,0.95
 Jamie Chung,738,1.12
 Kim Cattrall,1437,2.0
 Steve Buscemi,1283,1.29
 Nichole Bloom,1251,0.166
 Josphine Jobert,1749,0.00078
 Rachael Leigh Cook,1025,0.407
 Christopher Russell,11958,0.189
 William Moseley,1996,0.372
 Christopher Lloyd,1355,0.73
 AnnaLynne McCord,1243,0.777
 David Harbour,328,0.98
 Pierce Brosnan,716,6.92
 Marc Warren,4855,0.146
 Katrina Bowden,1703,0.52
 Peter Stormare,168,0.399
 Christian Slater,1041,0.753
 Sean Bean,1007,1.2
 Richard Gere,766,2.14
 Patrick Warburton,1363,0.377
 Toni Collette,883,1.4
 Tatiana Maslany,846,0.535
 Randee Heller,12159,0.126
 Jason Isaacs,1341,0.485
 Angela Lansbury,1325,0.716
 Woody Allen,1003,6.46
 Willa Holland,844,0.626
 Billy Bob Thornton,914,1.18
 Christina Applegate,1093,0.839
 Kim Dickens,2022,0.393
 Kelly Preston,1286,0.663
 Giovanni Ribisi,1445,0.412
 Mandy Patinkin,1564,0.426
 Eleanor Tomlinson,1290,0.423
 Jonny Lee Miller,1159,0.432
 Steven Ogg,3049,0.158
 Peter Jackson,1862,4.5
 Alexandra Shipp,3585,1.04
 Jim Parsons,1097,1.68
 Marcella Bragio,14470,0.0156
 Dakota Blue Richards,1539,0.232
 Hannah Jeter,10914,0.194
 Aisha Tyler,957,0.529
 Joseph Mazzello,1432,0.187
 Warwick Davis,2322,0.405
 Tania Raymonde,1010,0.188
 Florence Pugh,2725,0.125
 Maggie Smith,879,1.74
 China Anne McClain,2779,0.516
 Nikolaj Coster-Waldau,489,0.549
 Natalia Dyer,730,0.434
 Austin Butler,2134,1.42
 Owen Wilson,1062,1.73
 Timothy Bottoms,7429,0.142
 Isabel Lucas,1287,0.486
 Patrick Dempsey,911,1.6
 Peter Sarsgaard,1298,0.431
 Meaghan Rath,3216,0.117
 M Night Shyamalan,277,0.82
 Camilla Luddington,1582,0.422
 Ray Stevenson,1701,0.394
 Charlie Plummer,6901,0.117
 Tanya van Graan,16565,0.0767
 Olivia Vinall,35139,0.0373
 Jewel Staite,1184,0.399
