 Don Henley,43082,1.21
 Linda Ronstadt,42577,2.76
 Paul Simon,42501,8.22
 John Michael Montgomery,41958,0.349
 Enrique Iglesias,41721,15.6
 Bobby Brown,41560,15
 Alanis Morissette,40366,5.1
 Nicki Minaj,40318,79.5
 Frank Sinatra,39998,19.9
 Steve Winwood,39007,0.972
 Victoria Beckham,38039,29.5
 Mel B,0,6.08
 Cyndi Lauper,37593,8.06
 Lana Del Rey,37587,18.8
 Snoop Dogg,37172,31.8
 David Bowie,36684,34.8
 Michael W. Smith,36310,1.64
 Bette Midler,36271,6.7
 Dr. Dre,36032,21.5
 Jason Mraz,35893,10.2
 Kelly Rowland,35751,10.9
 Billy Ocean,35637,0.57
 Ray Charles,35477,9.89
 Trey Songz,35389,9.81
 JC Chasez,35254,0.28
 Lance Bass,0,0.791
 Joey Fatone,0,0.329
 Diana Ross,35172,9.67
 Darius Rucker,35147,3.08
 Trisha Yearwood,35132,1.94
 Tracy Chapman,35110,1.52
 John Legend,33945,24
 Adam Duritz,33738,0.0981
 Brian McKnight,33141,1.16
 Neil Young,32235,9.94
 Debbie Gibson,32089,0.855
 Busta Rhymes,32087,6.34
 Peter Gabriel,32072,4.75
 Chris Tomlin,32044,3.67
 Pat Benatar,31659,1.65
 Donna Summer,31564,5.63
 Taylor Dayne,31462,0.348
 Dionne Warwick,31455,1.78
 Keyshia Cole,31232,4.37
 Josh Turner,31016,1.09
 Kendrick Lamar,30847,31.6
 Wilson Phillips,30633,0.297
 Kenny Loggins,30567,1.58
 Colbie Caillat,30420,1.78
 Weird Al Yankovic,30408,2.01
 Dwight Yoakam,30268,1.84
 Robert Palmer,30229,1.24
 Jessica Simpson,30198,24.7
 Stevie Nicks,29900,7.36
 Rick Springfield,29651,1.19
 Sean Paul,29490,9.11
 Olivia Newton-John,29486,5.43
 Nelly Furtado,29404,4.04
 Will Smith,29335,37.4
 Huey Lewis,29204,1.28
 Gary Allan,28773,0.761
 Marvin Gaye,28758,11.1
 Tracy Lawrence,28694,0.369
 Vanessa Williams,28490,3.95
 Sheena Easton,28460,0.451
 Jon Secada,28431,0.335
 Connie Francis,27321,0.706
 Joe Jonas,27287,9.18
 Nick Jonas,0,23.4
 Kevin Jonas,0,1.2
 Mary Chapin Carpenter,27195,0.352
 Annie Lennox,27048,2.22
 Demi Lovato,26724,46.8
 Billy Ray Cyrus,26683,1.56
 Marc Anthony,26557,12.6
 Sara Evans,26446,1.17
 Hank Williams Jr.,26296,1.26
 Tom Petty,26222,11
 Billy Currington,25752,0.961
 Jody Watley,25751,0.225
 Willie Nelson,25669,11.5
 Natalie Merchant,25392,0.475
 Ricky Martin,25261,13.9
 Tony Bennett,25163,5.19
 Dolly Parton,25108,15.7
 Freddie Jackson,25096,0.229
 Patti LaBelle,25068,2.28
 Jackson Browne,24919,2.58
 Brenda Lee,24866,2.32
 Gerald Levert,24563,0.275
 Clay Walker,24275,0.39
 Jeffrey Osborne,23953,0.264
 Jo Dee Messina,23752,0.248
 Robin Thicke,23717,6.8
 Roy Orbison,23710,3.3
 Sam Smith,23573,17.5
 Howard Jones,23342,0.755
 Alice Cooper,23261,9.35
 Amy Winehouse,23023,13.8
 Diana Krall,22964,1.63
 Collin Raye,22948,0.254
 Hilary Duff,22943,30.1
 Erykah Badu,22646,4.43
 Anne Murray,22636,0.771
 Gretchen Wilson,22608,0.438
 Barry White,22574,2.05
 Ellie Goulding,22527,13.6
 Rick Ross,22512,16.5
 Jill Scott,22449,3.25
 Milli Vanilli,22436,0.49
 Tori Amos,22419,2.26
 Hunter Hayes,22256,2.8
 Tevin Campbell,21990,0.261
 Lynyrd Skynyrd,21972,7.17
 John Fogerty,21825,2.04
 Bobby Vinton,21781,0.45
 Lorrie Morgan,21778,0.291
 Belinda Carlisle,21678,0.789
 Smokey Robinson,21592,1.77
 Chris Isaak,21581,1.27
 Marilyn Manson,21362,13.2
 Jeff Foxworthy,21322,0.762
 Sara Bareilles,21199,4.11
 Rick Astley,21142,2.13
 James Brown,21116,13.6
 George Winston,20997,0.289
" Missy ""Misdemeanor"" Elliott",20928,0.0902
 Joe Satriani,20911,1.76
 Wiz Khalifa,20619,20.1
 Bruce Hornsby,20540,0.583
 Faith Evans,20479,1.35
 Michelle Branch,20451,0.651
 David Lee Roth,20257,1.06
 John Denver,20203,3.99
 Anthony Hamilton,20053,1.1
 Paul Anka,20049,1.55
 Meghan Trainor,19948,10.1
 Montell Jordan,19889,0.408
 Rodney Atkins,19438,0.395
 Julio Iglesias,19239,10.9
 Ariana Grande,19025,95.8
 Brook Benton,18953,0.188
 Corey Hart,18948,0.27
 Lee Ann Womack,18917,0.603
 Jermaine Jackson,18915,0.535
 Chubby Checker,18808,0.627
 Fiona Apple,18681,1.24
 Rob Zombie,18642,6.09
 Bobby Darin,18573,1.1
 Natasha Bedingfield,18549,1.12
 Neil Sedaka,18502,0.543
 Ricky Van Shelton,18464,0.111
 Laura Branigan,18446,0.352
 Sam Cooke,18415,3.59
 Dan Fogelberg,18332,0.303
 George Harrison,18284,8.64
 Chris Young,18228,4.17
 Lee Brice,18107,1.46
 Susan Boyle,18000,2.3
 Stevie B,17970,0.42
 Sam Hunt,17934,3.62
 Johnny Gill,17489,0.431
 Al Green,17460,3.29
 Jackie Wilson,17365,0.661
 Aaron Neville,17252,0.586
 George Benson,17192,2.08
 Glenn Frey,16955,0.953
 Lauryn Hill,16720,5.81
 James Blunt,16662,5.43
 Glen Campbell,16534,2.24
 Karyn White,16491,0.147
 Phillip Phillips,16035,0.974
 Leona Lewis,16000,6.37
 Joe Cocker,15974,3.81
 Tom Jones,15924,6.24
 Lisa Stansfield,15910,0.351
 Jimi Hendrix,15878,19.3
 Musiq Soulchild,15810,0.562
 Andy Williams,15767,1.63
 Sammy Hagar,15719,1.75
 Aaron Tippin,15612,0.254
 Joe Nichols,15579,0.661
 Snoop Doggy Dogg,15555,0.465
 Joss Stone,15524,2.09
 Uncle Kracker,15413,0.446
 Warren G,15412,3.66
 Daddy Yankee,15382,33
 Sammy Kershaw,15372,0.202
 Wang Chung,15324,0.312
 Bobby Rydell,15321,0.193
 Scotty McCreery,15261,4.08
 Johnny Rivers,15058,0.352
 Puff Daddy,15010,2.74
 Rob Thomas,14999,1.63
 Macy Gray,14961,1.28
 Jake Owen,14961,1.77
 Tracy Byrd,14922,0.19
 Vanilla Ice,14903,20.3
 Helen Reddy,14859,0.292
 Michael McDonald,14838,1.38
 Samantha Fox,14760,1.72
 Steven Curtis Chapman,14756,0.525
 Steely Dan,14714,4.84
 Jesse McCartney,14674,6.12
 Selena Gomez,14531,87.4
 Jamey Johnson,14478,0.571
 Joe Jackson,14371,1.89
 Charlotte Church,14369,0.493
 Aaron Carter,14361,1.48
 Jamie Foxx,14353,17.8
 Alison Krauss,14352,2.04
 Paula Cole,14320,0.245
 B.B. King,14303,6.27
 Tanya Tucker,14243,0.483
 Donny Osmond,14110,1.15
 Jordin Sparks,14090,3.77
 David Gray,14084,1.37
 Gavin DeGraw,14027,1.7
 Sinead O Connor,13931,1.15
 Real McCoy,13929,1.32
 Ashlee Simpson,13905,6.24
 Justin Moore,13897,1.29
 Donell Jones,13828,0.286
 Wilson Pickett,13754,0.537
 Paul Young,13729,2.12
 Da Brat,13729,0.755
 Dean Martin,13721,7.8
 Kylie Minogue,13696,12.1
 Ricky Nelson,13690,0.909
